name,address,country,state,causes,website,mission,description
National Forest Foundation,"27 Fort Missoula Road, Suite 3 , Missoula MT 59804-7212 , USA",United States of America,Montana,Disaster Relief&Environment&Natural Disasters&Nature Conservation&Ocean&Society&Sports and Recreation,http://www.nationalforests.org/,The mission of the National Forest Foundation is to engage America in community-based and national programs that promote the health and public enjoyment of the 193-million-acre National Forest System.,
Heal the Bay,"1444 9th St , Santa Monica CA 90401-2707 , USA",United States of America,California,Education&Environment&Nature Conservation&Ocean,http://www.healthebay.org/,"Heal the Bay is an environmental nonprofit dedicated to making the coastal waters and watersheds of Greater Los Angeles safe, healthy and clean. To fulfill our mission, we use science, education, community action, and advocacy.",$0.10 funds 1 weekly water quality monitoring at one beach on the West Coast of the U.S.
Susan G. Komen Breast Cancer Foundation - National Office (Dallas),"13770 Noel Rd Unit 801889 , Dallas TX 75380-0147 , USA",United States of America,Texas,Cancer&Health,http://www.komen.org/,"Nancy G. Brinker promised her sister that she would do everything in her power to end breast cancer forever. That promise is now Susan G. Komen for the Cure®, the global leader of the breast cancer movement, having invested more than $2.2 billion since inception in 1982. As the world’s largest grassroots network of breast cancer survivors and activists, we’re working together to save lives, empower people, ensure quality care for all and energize science to find the cures. Thanks to events like the Susan G. Komen Race for the Cure® and the Susan G. Komen 3-Day for the Cure®, and generous contributions from our partners, sponsors and fellow supporters, we have become the largest source of nonprofit funds dedicated to the fight against breast cancer in the world.",
National Pediatric Cancer Foundation,"5550 West Executive Drive Ste 300 , Tampa FL 33609 , USA",United States of America,Florida,Cancer&Health,http://www.fastercure.org/,"The Pediatric Cancer Foundation is a nonprofit organization dedicated to funding research to eliminate childhood cancer. Our focus is to find less toxic, more targeted therapies by partnering with leading hospitals nationwide.",
Pledgeling Food Fund,"1638 Abbot Kinney Blvd, 3rd floor , Venice CA 90291 , USA",,California,United States of America,https://www.pledgeling.org,"Provide Meals: In the past this fund has donated to national organizations focused on child hunger, like Feeding America.",
Ali Forney Center,"224 W 35th St Fl 15 , New York NY 10001-2529 , USA",United States of America,New York,Housing&Justice&LGBTQ+&Society&Youth Development,http://www.aliforneycenter.org/,"The Ali Forney Center was founded in 2002 in memory of Ali Forney, a homeless gender-nonconforming youth who was forced to live on the streets, where they were tragically murdered. Too many of these youth are rejected by their families and the broader community and are thus forced to survive on the streets, facing the dangers of violence, HIV infection, and homophobia. Committed to saving the lives of LGBTQ+ young people, the organization's mission is to protect them from the harms of homelessnessJuly-15- and empower them with the tools needed to live independently  through services that can help them thrive.",
Hit Living Foundation,"5811 Saloma Ave , Van Nuys CA 91411 , USA",United States of America,California,Animals,https://www.hitlivingfoundation.org/,"HONESTY, INTEGRITY and TRUST are the three main pillars of their mission at The HIT Living Foundation. They strive to live by these ethos within the foundation and personal lives. The HIT Living Foundation has come to fruition through the willingness to act on compassion for others and by doing so with open hearts and objective minds.",
Water for People,"7100 E Belleview Ave Ste 310 , Greenwood Village CO 80111-1639 , USA",United States of America,Colorado,Disaster Relief&Society,http://www.waterforpeople.org/,"Water For People works with people and partners to develop innovative and long-lasting solutions to the water, sanitation, and hygiene problems in the developing world. We strive to continually improve, to experiment with promising new ideas, and to leverage resources to multiply our impact.",
DonorsChoose.org,"P.O. Box 7247  Mail Code: 6656 , Philadelphia PA 19170-6656 , USA",United States of America,Pennsylvania,Education,http://www.donorschoose.org/,"DonorsChoose.org is the leading platform for giving to public schools. Teachers across America use the site to create projects requesting resources their students need, and donors give to the projects that inspire them. Since its founding by a Bronx teacher in 2000, more than 3.4 million people and partners have given $739 million to projects reaching 30 million students. Unique among education funding platforms, the DonorsChoose.org team vets each project request and ships resources directly to the school. Every donor receives photos of their project in action, thank-yous from the classroom, and a cost report showing how every dollar was spent.",
Planned Parenthood Southeast,"241 Peachtree St NE , Atlanta GA 30303-1423 , USA",United States of America,Georgia,Health,https://www.plannedparenthood.org/planned-parenthood-southeast,"Planned Parenthood's mission is to ensure that every child is a wanted child, and to protect reproductive health by providing comprehensive, medically accurate sex education and quality health care, while advocating for the rights of women, men, and families.",
Envision Freedom Fund fka Brooklyn Community Bail Fund,"195 Montague St Fl 14 , Brooklyn NY 11201-3631 , USA",,New York,United States of America,https://envisionfreedom.org,"Envision Freedom Fund works alongside impacted communities to dismantle the oppressive and interconnected criminal legal and immigration systems. With freedom as our guiding principle, we invest in innovative campaigns and programs that aim to win long-term, transformative change, while meeting the urgent needs of community members in the present.",
Plan C,USA,,,United States of America,https://www.plancpills.org/,"Plan C is an information campaign, started by a small but mighty team of veteran public health advocates, researchers, social justice activists and digital strategists.
Plan C transforms access to abortion in the US by normalizing the self-directed option of abortion pills by mail.
We envision a world in which the ability to end an early pregnancy is in the hands of those who need it.",
Science Club for Girls,"P.O. Box 390544 , Cambridge MA 02139 , USA",United States of America,Massachusetts,Society&Youth Development,http://www.scienceclubforgirls.org/,"Science Club for Girls' vision is to catalyze a fully diverse and inclusive STEM community.  Our mission is to foster excitement, confidence and literacy in STEM for girls, particularly those from underrepresented communities, by providing free, experiential programs and by maximizing meaningful interactions with women mentors in science, technology, engineering & mathematics.",
Long Island Bulldog Rescue,"PO Box 239 , Stony Brook NY 11790 , USA",United States of America,New York,Animals,http://www.longislandbulldogrescue.org,"The mission of Long Island Bulldog Rescue LIBR is to provide education, prevention, intervention, and adoption services to ensure that all English Bulldogs enjoy long, healthy lives in loving, safe, appropriate homes where they are provided the life-long care they require We commit to each English Bulldog and adopters we serve for the life of the dog. In the event that an adoption is unsuccessful, the dog is to be returned to the LIBR.",
National Park Foundation,"1500 K St., NW  Ste 700 , Washington DC 20005 , USA",United States of America,District of Columbia,Animals&Art&Environment&Nature Conservation&Wildlife,http://www.nationalparks.org/,"The National Park Foundation, in partnership with the National Park Service, enriches America’s national parks and programs through private support, safeguarding our heritage and inspiring generations of national park enthusiasts. NPF programs fund park conservation and restoration efforts, foster youth engagement, promote citizenship and preserve history in the places where it happened.",
The Tiny Kindness Project,USA,,,United States of America,http://www.3PennyDesign.com,A Black-Jewish street artist decides an outreach campaign of kindness is the salve we all need to see one another.,
Arbor Day Foundation,"211 North 12th St , Lincoln NE 68508 , USA",United States of America,Nebraska,Environment,http://www.arborday.org,"We inspire people to plant, nurture, and celebrate trees.",
Pledgeling Arts Education Fund,"1638 Abbot Kinney Blvd, 3rd floor , Venice CA 90291 , USA",,California,United States of America,,"Support Arts Education: In the past this fund has donated to organizations providing arts education to underserved schools, like PS Arts.",
Airlink Flights,"1023 15TH ST NW STE 100 , WASHINGTON DC 20005-2628 , USA",United States of America,District of Columbia,Clean Water&Coronavirus&Disaster Relief&Health&Natural Disasters&Society,https://airlinkflight.org/,"Airlink is a global humanitarian organization delivering critical aid to communities in crisis by providing airlift and logistical solutions to nonprofit partners, changing the way the humanitarian community responds to disasters around the world.",
Friends Of Troop 88,"San Francisco CA 94117 , USA",United States of America,California,Society&Youth Development,,"We provide a place for young men and women of San Francisco to explore the outdoors, develop leadership skills, and take flight as citizens of the community, nation and the world at large through Scouting.","$300 enrolls 1 Scout for a year in San Francisco, CA"
Capital Humane Society,"2320 Park Blvd. , Lincoln NE 68502 , USA",United States of America,Nebraska,Animals,http://www.capitalhumanesociety.org/,"Capital Humane Society serves the community by sheltering homeless pets, advocating for animal welfare, and educating the public about responsible pet care.",
Planned Parenthood Federation of America,"123 William St , New York NY 10038-3812 , USA",United States of America,New York,Health,http://www.plannedparenthood.org/,"The mission of Planned Parenthood is to provide comprehensive reproductive and complementary health care services in settings that preserve and protect the essential privacy and rights of each individual; to advocate public policies which guarantee these rights and ensure access to such services; to provide educational programs which enhance understanding of individual and societal implications of human sexuality; to promote research and the advancement of technology in reproductive health care and encourage understanding of their inherent bioethical, behavioral, and social implications.",
Pulmonary Fibrosis Foundation,"230 East Ohio Street Suite 500 , Chicago IL 60611 , USA",United States of America,Illinois,Disease&Health,http://www.pulmonaryfibrosis.org,"Founded in 2000 by brothers Albert Rose and Michael Rosenzweig, PhD, the Pulmonary Fibrosis Foundation is a 501(c)(3) nonprofit organization dedicated to identifying effective PF treatments and assisting those living with the disease. The brothers experienced firsthand the devastating effects of PF when their sister claire passed away from the disease. Both brothers were also diagnosed with PF, and it was their vision and dedication that led to the creation of the foundation.",
"Rape, Abuse & Incest National Network","1220 L STREET NW , WASHINGTON DC 20005-4018 , USA",United States of America,District of Columbia,Health&Mental Health&Women's Health,https://rainn.org/,"RAINN (Rape, Abuse & Incest National Network) is the nation's largest anti-sexual violence organization and was named one of ""America's 100 Best Charities"" by Worth magazine. RAINN created and operates the National Sexual Assault Hotline (800.656.HOPE and online.rainn.org) in partnership with more than 1,100 local rape crisis centers across the country and operates the DoD Safe Helpline for the Department of Defense. RAINN also carries out programs to prevent sexual violence, help victims and ensure that rapists are brought to justice.",
Remember Me Rescue Ny,"32 Kenneth Ave , Huntington NY 11743 , USA",United States of America,New York,Animals,https://www.remembermerescueny.net/,"Remember Me Rescue NY is a foster based, nonprofit organization. They rescue and rehabilitate dogs from Long Island and NYC shelters - all ages, sizes and breeds.",
Pledgeling Clean Water Fund,"1638 Abbot Kinney Blvd, 3rd floor , Venice CA 90291 , USA",,California,United States of America,https://www.pledgeling.org,"Provide Clean Water: In the past this fund has supported education and empowerment surrounding clean water initiatives, as well as implementation of clean water projects through nonprofits like the Thirst Project.",
LIFE IMPACT INTERNATIONAL,"1464 MADERA RD N187 , SIMI VALLEY CA 93065-3077 , USA",United States of America,California,Clean Water&Coronavirus&Disaster Relief&Health&Natural Disasters&Society,https://lifeimpactintl.org/,"Christian mission in Thailand to provide shelter, safe homes and vocational training to those rescued from abuse and exploitation.",
Moms For Moms Nyc,"68 34th St  Ste B540 , Brooklyn NY 11232 , USA",United States of America,New York,Children & Family&Society,http://www.momsformomsnyc.org,Moms for Moms is a New York City based nonprofit that supports single mothers in need through the distribution of Postpartum Recovery Care Kits and Newborn Baby Bundles.,
American Foundation for Suicide Prevention,"199 Water St Fl 9 , New York NY 10038-3541 , USA",United States of America,New York,Health&Mental Health,http://www.afsp.org/,"The American Foundation for Suicide Prevention is dedicated to saving lives and bringing hope to those affected by suicide. AFSP creates a culture that’s smart about mental health through education and community programs, develops suicide prevention through research and advocacy, and provides support for those affected by suicide.  AFSP has local chapters in all 50 states with programs and events nationwide.",
Casa Vegana,"San Juan PR 00920 , USA",United States of America,Puerto Rico,Food & Nutrition&Society,http://www.casaveganapr.org,"We provide free education, orientation, and guidance about veganism to Puerto Rico and the Spanish speaking world, via digital, in-person, and printed modes of communication. We cover topics such as animal rights, plant-based nutrition, environmental conservation, and veganic farming, among others.","$8 gives 1 meal, education, and survey in Rio Piedras, Puerto Rico"
Keep A Breast Foundation,"7168 Mohawk Trail , Yucca Valley CA 92284-2633 , USA",United States of America,California,Cancer&Education&Health&STEAM,http://www.keep-a-breast.org/,"The Keep A Breast Foundation™ is a nonprofit organization with a mission to empower
young people around the world with breast health education and support.",
A Breath Of Hope Lung Foundation,"PO Box 387 , Wayzata MN 55391 , USA",,Minnesota,United States of America,http://www.ABreathOfHope.org,"A Breath of Hope fights Lung Cancer by supporting patients and their families,  funding innovative lung cancer research, promoting community involvement, and increasing awareness through education.",
Immanuel Church Nashville,"4301 Charlotte Ave , Nashville TN 37209 , USA",,Tennessee,United States of America,https://www.immanuelnashville.com/,"""Making the real Jesus non-ignorable in our city and far beyond""",
Solutions For Change,"722 W California Ave , Vista CA 92083 , USA",United States of America,California,Housing&Society,http://www.solutionsforchange.org,"The mission of Solutions for Change is to solve family homelessness - one family, one community at a time.",
Lift Orlando Inc,"PO Box 550128  April Richardson , Orlando FL 32855-0128 , USA",United States of America,Florida,Education&Housing&K-12&Society,https://www.liftorlando.org/,THEIR MISSION,
"MADRE, An International Women's Human Rights Org.","121 W 27th St Ste 604 , New York NY 10001-6299 , USA",United States of America,New York,Children & Family&Clean Water&Climate Change&Coronavirus&Disaster Relief&Education&Environment&Food & Nutrition&Health&Justice&Natural Disasters&Nature Conservation&STEAM&Society&Women & Girls,http://www.MADRE.org,"MADRE's mission is to advance women's human rights by meeting urgent needs in communities and building lasting solutions to the crises women face. MADRE works towards a world in which all people enjoy the fullest range of individual and collective human rights; in which resources are shared equitably and sustainably; in which women participate effectively in all aspects of society; and in which people have a meaningful say in policies that affect their lives.
 
MADRE's vision is enacted with an understanding of the inter-relationships between the various issues we address and by a commitment to working in partnership with women at the local, regional and international levels who share our goals.",
"Trout Unlimited (Arlington, VA)","1777 North Kent Street, Suite 100 , Arlington VA 22209 , USA",United States of America,Virginia,Animals&Climate Change&Environment&Nature Conservation&Ocean&Wildlife,http://www.tu.org/,"To conserve, protect, and restore North America’s coldwater fisheries and their watersheds.",
Bee Girl,"PO Box 3257 , Ashland OR 97520-2319 , USA",United States of America,Oregon,Environment&Nature Conservation&Society,http://www.beegirl.org,"Our mission is to educate and inspire communities to conserve bees, their flowers, and our countryside.  ",
K9s for Warriors,"114 Camp K9 Road , Ponte Vedra FL 32081 , USA",United States of America,Florida,Animals&Health,http://www.k9sforwarriors.org/,"K9s for Warriors is a non-profit, 501 (c)(3) organization that specializes in obtaining, training and placement of service dogs to our disabled American veterans who have been injured in military service post 9/11. Over 600,000 of our warriors have come home that are disabled. One in five suffers from post-traumatic stress, and one in six will commit suicide. These brave warriors need and deserve our help. Service canines are a proven recovery resource for these warriors.",
Dc Abortion Fund,"PO Box 65061 , Washington DC 20035 , USA",,District of Columbia,United States of America,http://www.dcabortionfund.org,The DC Abortion Fund exists to make reproductive choice a reality by providing financial support for individuals of any age who lack resources to access abortion care.,
The Loveland Foundation,"320 7th Ave #263 , Brooklyn NY 11215 , USA",United States of America,New York,Justice,https://thelovelandfoundation.org/,"The Loveland Foundation was established in 2018 by Rachel Cargle in response to her widely successful birthday wish fundraiser, Therapy for Black Women and Girls. The Loveland Foundation is the official continuation of this effort to bring opportunity and healing to communities of color, and especially to Black women and girls.",
Buy From A Black Woman,"848 Oglethorpe Ave Sw Unit 10873 , Atlanta GA 30310 , USA",,Georgia,United States of America,http://www.buyfromablackwoman.org,"Buy from a Black Woman is a Non-profit organization that helps bring awareness to Black Women Business Owners. Our mission is to help educate, empower & inspire Black Women business owners by providing the tools and resources needed to help them be successful. You can learn more about who we are and what we do by visiting www.buyfromablackwoman.org",
The Afiya Center,"PO Box 765183 , Dallas TX 75376-5183 , USA",United States of America,Texas,Justice&Women & Girls,http://www.theafiyacenter.org,"The Afiya Center's (TAC) mission is to serve Black womxn and girls by transforming their relationship with their sexual and reproductive health through addressing the consequences of reproductive oppression. We aim to achieve our mission through providing refuge. education, and resources. ",
Play Like A Girl!,"4117 Hillsboro Pike  Suite 103-129 , Nashville TN 37215 , USA",United States of America,Tennessee,Education&Society&Sports and Recreation&Youth Development,http://www.iplaylikeagirl.org,"Our mission is to ensure that every girl reaches her full potential by providing girls ages 9-13 an opportunity and in many cases, their only chance to participate in sport and physical activity. We endeavor to harness the natural properties of sport to propel young women into competitive, male-dominated careers especially those at the intersection of science, technology, engineering, mathematics (STEM) and sports. We offer programs and resources designed to transform girls' motivation into an ""I am unstoppable"" attitude. It is our goal to help girls everywhere find the courage to do things beyond the field of play that they never thought possible. We believe that girls given the opportunity to play on a team become women who have the confidence to stand on their own",
RAICES (Refugee & Immigrant Center for Education & Legal Services),"1305 N Flores St , San Antonio TX 78212 , USA",United States of America,Texas,Disaster Relief&Refugee Services,https://www.raicestexas.org,"We are a nonprofit agency that promotes justice by providing free and low-cost legal services to under served immigrant children, families, and refugees. With legal services, social programs, bond assistance, and an advocacy team focused on changing the narrative around immigration in this country, RAICES is operating on the national front lines of the fight for immigration rights. We defend the rights of immigrants and refugees, empower individuals, families, and communities, and advocate for liberty and justice.",
Flow For Love Of Water,"440 West Front Street Suite 100 , Traverse City MI 49684 , USA",United States of America,Michigan,Environment&Nature Conservation&Ocean,http://www.forloveofwater.org,"Their mission is to safeguard the Great Lakes, the planet’s largest freshwater lake system and the very lifeblood of the Midwest, by advancing public trust solutions and cutting-edge policy work. Through their targeted policy initiatives, FLOW has built key partnerships with state and regional Great Lakes groups, leveraged their expertise to influence agencies and impact state and federal legislation, and grown to be a trusted source of current information on issues affecting their freshwater seas.",
Bowie Crofton Pregnancy Center,"934 West Street , Annapolis MD 21401 , USA",United States of America,Maryland,Health,http://www.helphopeandhealing.org,"Founded in 1982, this ministry has served more than 28,000 women and their families, helped establish two other local centers, and expanded our services to include three medical clinic offices: Annapolis, Bowie Crofton, and Severna Park. ",
Warriors Fund d/b/a Wounded Warriors,"7112 Cut Plains Trl , Austin TX 78726 , USA",United States of America,Texas,Military & Veterans&Society,https://warriorsfund.org/,"Do not confuse this organization with Wounded Warrior Project of Jacksonville, FL EIN 20-2370934",
Child Cancer Fund,"841 Prudential Drive, 12th Floor , Jacksonville FL 32207 , USA",United States of America,Florida,Cancer&Health,http://www.childcancerfund.org,"The Child Cancer Fund was founded in 1994 by a group of Jacksonville, FL parents whose children were being treated for cancer; they understood the stress, anxiety and heartache of a childhood cancer diagnosis.  We provide practical, emotional, financial, and educational support to children and their families every step of the way to navigate the challenges of childhood cancer.",
Birthday Wishes Inc.,"24 Superior Dr Ste B1 , Natick MA 01760-1535 , USA",United States of America,Massachusetts,Children & Family&Housing&Society,http://www.birthdaywishes.org/,"The mission of Birthday Wishes is to improve and empower the lives of homeless children and their families by providing joy, play and hope through the magic of a birthday party. Our goal is to ensure that children experiencing the trauma of homelessness have the opportunity to celebrate their birthday joyfully, surrounded by family, friends and others who care.",
Gulf Coast Community Foundation,"601 Tamiami Trl S , Venice FL 34285 , USA",,Florida,United States of America,http://www.gulfcoastcf.org,"Together with our donors, we transform our region through bold and proactive philanthropy.",
Lung Cancer Research Foundation,"501 Fashion Ave Rm 401 , New York NY 10018-8603 , USA",United States of America,New York,Cancer&Disease&Health,https://www.lungcancerresearchfoundation.org/,"The mission of the Lung Cancer Research Foundation is to support national research studies and activities focused on developing innovative strategies for better treatments, screening, and prevention of all cancers of the lung. New knowledge gained by funding scientific and clinical research initiatives will lead to more positive outcomes and improved quality of life for all lung cancer patients.",
 BRCC Fund,"1144 S 500 W , Salt Lake City UT 84101 , USA",,Utah,United States of America,https://www.blackriflecoffee.com/,"Dedicated to serving and defending the principles of our country, the BRCC fund supports veterans, first responders, and their families while helping conserve the great American outdoors.",
Save the Children,"501 Kings Highway East, Suite 400 , Fairfield CT 06825 , USA",United States of America,Connecticut,Clean Water&Coronavirus&Disaster Relief&Health&Natural Disasters&Society,http://www.savethechildren.org/,"As the world's leading independent organization for children in need, Save the Children has programs in nearly 120 countries, including the United States. Their aim is to inspire breakthroughs in the way the world treats children, and to create immediate and lasting change in their lives by improving their health, education and economic opportunities. In times of acute crisis, Save the Children mobilizes rapid assistance to help children recover from the effects of war, conflict and natural disasters.",
Mothers Without Borders,"95 W 100 S #282 , Provo UT 84603 , USA",United States of America,Utah,HIV/AIDS&Health,http://www.motherswithoutborders.org,Mothers Without Borders offers hope in developing countries by strengthening local communities in their efforts to:,
Herbalife CASA Partners,"Los Angeles CA , USA",,California,United States of America,https://www.facebook.com/HerbalifeNutritionFoundation,Herbalife CASA Partners improves the lives of vulnerable children worldwide with access to good nutrition so they can achieve their full potential through the Herbalife Nourishment Foundation (HNF). ,
Dondolo Gives,"2201 Midway Rd., Suite 324 , Carrollton TX 75006 , USA",United States of America,Texas,Society,https://dondolo.com/blogs/impact/empowering-motherhood-together,"The purpose of our clothing is to empower the women behind each piece and to help communities in Colombia facing extreme poverty (many communities don’t even have water or electricity in their dirt floor houses). We delivered more than 5,000 items of clothing and snacks to 3 communities last year. We also donated a playground to each of the communities we visited. 1 year ago we started our Mom Empowering Program where we took 5 women from one of the communities we visit and we gave them a job assembling our Dondolo dolls. While working for a living wage, they also receive training on how to start and run their own business in order to better their lives and the lives of their children. Every time our clients buy Dondolo they are doing way more than buying the most beautiful heirloom piece of clothing for their children, they are changing the world for women and children one outfit at a time.",
Memorial Sloan-Kettering Cancer Center,"1275 York Ave , New York NY 10065-6007 , USA",United States of America,New York,Cancer&Health&Hospitals&Medical Research&Society,http://www.mskcc.org/,"Memorial Sloan-Kettering Cancer Center is dedicated to leading the fight against cancer, individually focusing on each patient and creating an impact on cancer treatment and the biomedical research agenda around the world. ",
Community Mediation Program,"3333 Greenmount Ave , Baltimore MD 21218 , USA",,Maryland,United States of America,http://www.communitymediation.org,"We are Baltimore's Community Mediation Program! We provide non-judgmental processes for individuals and groups to be heard and to listen, make decisions, and peacefully change their lives, families, and communities. Our mediation services are free to anyone who lives and/or works in Baltimore City. We are also a leading provider in conflict management training.","$24 donation supports 1 Community Mediation Program volunteer hour in Baltimore, MD"
Kyleigh's Cure,"77 Angela Rd , Braintree MA 02184 , USA",United States of America,Massachusetts,Disease&Health,https://kyleighscure.com/,,
Trans Lifeline,"PO Box 11253  Suite 311 , Oakland CA 94611-0253 , USA",United States of America,California,Health&Mental Health,http://www.translifeline.org,"Trans Lifeline is a national trans-led 501(c)(3) organization dedicated to improving the quality of trans lives by responding to the critical needs of our community with direct service, material support, advocacy, and education. Our vision is to fight the epidemic of trans suicide and improve overall life-outcomes of trans people by facilitating justice-oriented, collective community aid.",
